HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS07	722530	0.5	HS02	722520
HS07	722540	0.5	HS02	722520
HS07	722550	0.5	HS02	722520
HS07	722591	0.5	HS02	722520
HS07	722592	0.5	HS02	722520
HS07	722599	0.5	HS02	722520
HS07	722530	0.5	HS02	722530
HS07	722540	0.5	HS02	722540
HS07	722550	0.5	HS02	722550
HS07	722591	0.5	HS02	722591
HS07	722592	0.5	HS02	722592
HS07	722599	0.5	HS02	722599
HS07	722699	0.333333333333333	HS02	722693
HS07	722699	0.333333333333333	HS02	722694
HS07	722699	0.333333333333333	HS02	722699
HS07	722990	0.5	HS02	722910
HS07	722990	0.5	HS02	722990
HS07	730411	1	HS02	730410
HS07	730419	1	HS02	730410
HS07	730422	1	HS02	730421
HS07	730423	1	HS02	730421
HS07	730424	1	HS02	730429
HS07	730429	1	HS02	730429
HS07	730611	1	HS02	730610
HS07	730619	1	HS02	730610
HS07	730621	1	HS02	730620
HS07	730629	1	HS02	730620
HS07	730661	1	HS02	730660
HS07	730669	1	HS02	730660
HS07	731419	0.5	HS02	731413
HS07	731419	0.5	HS02	731419
HS07	731990	0.5	HS02	731910
HS07	731990	0.5	HS02	731990
HS07	732111	1	HS02	732111
HS07	732119	0.5	HS02	732111
HS07	732119	0.5	HS02	732113
HS07	732181	1	HS02	732181
HS07	732189	0.5	HS02	732181
HS07	732189	0.5	HS02	732183
HS07	740100	0.5	HS02	740110
HS07	740100	0.5	HS02	740120
HS07	740329	0.5	HS02	740323
HS07	740329	0.5	HS02	740329
HS07	740729	0.5	HS02	740722
HS07	740729	0.5	HS02	740729
HS07	741999	0.25	HS02	741420
HS07	741999	0.25	HS02	741490
HS07	741999	0.25	HS02	741600
HS07	741819	0.5	HS02	741700
HS07	741819	0.5	HS02	741819
HS07	741991	1	HS02	741991
